user,mentions_count,link
realgrumpycat,211,https://twitter.com/realgrumpycat
friskies,132,https://twitter.com/friskies
lifetimetv,43,https://twitter.com/lifetimetv
mashable,35,https://twitter.com/mashable
evilhag,31,https://twitter.com/evilhag
drinkgrumpycat,29,https://twitter.com/drinkgrumpycat
amazon,25,https://twitter.com/amazon
dynamitecomics,23,https://twitter.com/dynamitecomics
appstore,22,https://twitter.com/appstore
chroniclebooks,21,https://twitter.com/chroniclebooks
jakefogelnest,21,https://twitter.com/jakefogelnest
qvc,20,https://twitter.com/qvc
buzzfeed,20,https://twitter.com/buzzfeed
ibooks,19,https://twitter.com/ibooks
playbingobash,19,https://twitter.com/playbingobash
petsmart,14,https://twitter.com/petsmart
wwe,14,https://twitter.com/wwe
thewebbyawards,13,https://twitter.com/thewebbyawards
meltdowncomics,13,https://twitter.com/meltdowncomics
nickelodeontv,12,https://twitter.com/nickelodeontv
purina,12,https://twitter.com/purina
wweuniverse,12,https://twitter.com/wweuniverse
grumpycattard,11,https://twitter.com/grumpycattard
hottopic,10,https://twitter.com/hottopic
target,10,https://twitter.com/target
americanidol,10,https://twitter.com/americanidol
walmart,10,https://twitter.com/walmart
waltdisneyworld,10,https://twitter.com/waltdisneyworld
gma,8,https://twitter.com/gma
gottagettagund,8,https://twitter.com/gottagettagund
nyannyancat,8,https://twitter.com/nyannyancat
iamnalacat,8,https://twitter.com/iamnalacat
iamlilbub,8,https://twitter.com/iamlilbub
thekeyboardcat,7,https://twitter.com/thekeyboardcat
natbynature,7,https://twitter.com/natbynature
disneyland,7,https://twitter.com/disneyland
gameofthrones,7,https://twitter.com/gameofthrones
itunes,6,https://twitter.com/itunes
skechersusa,6,https://twitter.com/skechersusa
kroger,6,https://twitter.com/kroger
jacobmouritzen,6,https://twitter.com/jacobmouritzen
luckymagazine,6,https://twitter.com/luckymagazine
brian52173,6,https://twitter.com/brian52173
catvidfest,5,https://twitter.com/catvidfest
powells,5,https://twitter.com/powells
garfield,5,https://twitter.com/garfield
mtv,5,https://twitter.com/mtv
marilynmanson,5,https://twitter.com/marilynmanson
midtowncomics,5,https://twitter.com/midtowncomics
ryanseacrest,5,https://twitter.com/ryanseacrest
sxsw,5,https://twitter.com/sxsw
comic_con,5,https://twitter.com/comic_con
