user,count_retweets,count_followers,link
Friskies,9,25766.0,https://twitter.com/Friskies
OpelDE,2,21591.0,https://twitter.com/OpelDE
RealGrumpyCat,2,1567103.0,https://twitter.com/RealGrumpyCat
ADuralde,1,18596.0,https://twitter.com/ADuralde
ChadLeeBradley,1,13.0,https://twitter.com/ChadLeeBradley
Forbes,1,16442441.0,https://twitter.com/Forbes
IMDb,1,4533191.0,https://twitter.com/IMDb
KeyboardCatReal,1,842.0,https://twitter.com/KeyboardCatReal
OriginalFunko,1,1080471.0,https://twitter.com/OriginalFunko
assassinpikachu,1,904.0,https://twitter.com/assassinpikachu
mallofamerica,1,66582.0,https://twitter.com/mallofamerica
nghtrider007,1,195.0,https://twitter.com/nghtrider007
